"Id;""Designator"";""Package"";""Quantity"";""Designation"";""Supplier and ref"";",,,,
"1;""D2","D1"";""DB2431200L"";2;""DB2431200L"";;;",,,
"2;""J9","J5"";""PinHeader_1x05_P2.00mm_Vertical"";2;""Conn_01x05_Male"";;;",,,
"3;""J3"";""PinHeader_1x04_P2.00mm_Vertical"";1;""Conn_01x04_Male"";;;",,,,
"4;""J1","J4"";""PinHeader_1x01_P2.00mm_Vertical"";2;""Conn_01x01_Male"";;;",,,
"5;""U1"";""SOT-23-5_HandSoldering"";1;""LM4120-CustomSymbols"";;;",,,,
"6;""JP2","JP1"";""PinSocket_1x02_P2.54mm_Vertical"";2;""Jumper_2_Open"";;;",,,
"7;""C10",C2,C3,C4,"C8"";""C_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";5;""0.1u"";;;"
"8;""J2"";""PinSocket_1x06_P2.00mm_Vertical"";1;""Conn_01x06_Male"";;;",,,,
"9;""C9"";""C_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""1u"";;;",,,,
"10;""R4","R5"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";2;""5M"";;;",,,
"11;""BT1"";""BatteryHolder_Keystone_1042_1x18650"";1;""Cell1"";;;",,,,
"12;""C1"";""C_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""0.022uF"";;;",,,,
"13;""C5","C7"";""C_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";2;""0.22u"";;;",,,
"14;""C6"";""C_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""10u"";;;",,,,
"15;""CDR1",GND1,"MPB1"";""PinHeader_1x01_P2.00mm_Vertical"";3;""TestPoint"";;;",,
"16;""J6","J7"";""PinSocket_1x03_P2.54mm_Vertical"";2;""Conn_01x03"";;;",,,
"17;""J8"";""PinHeader_1x06_P2.00mm_Vertical"";1;""Conn_01x06"";;;",,,,
"18;""Q1","Q2"";""TDSON-8-1"";2;""CSD17307Q5A"";;;",,,
"19;""R1",R2,"R8"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";3;""898k"";;;",,
"20;""R3"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""2.2k"";;;",,,,
"21;""R6"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""4.87k"";;;",,,,
"22;""R7"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""330"";;;",,,,
"23;""R9"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""28k"";;;",,,,
"24;""R10",R19,"R22"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";3;""332k"";;;",,
"25;""R11"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""167k"";;;",,,,
"26;""R12"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""1.64M"";;;",,,,
"27;""R13"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""374k"";;;",,,,
"28;""R14"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""1.43M"";;;",,,,
"29;""R15"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""562k"";;;",,,,
"30;""R16"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""14.7m"";;;",,,,
"31;""R17"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""284k"";;;",,,,
"32;""R18","R23"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";2;""100k"";;;",,,
"33;""R20"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""29.4k"";;;",,,,
"34;""R21"";""R_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""59.0k"";;;",,,,
"35;""TH1"";""R_0402_1005Metric"";1;""TDK10k"";;;",,,,
"36;""U2"";""DFN-6-1EP_3x2mm_P0.5mm_EP1.65x1.35mm"";1;""LTC2942"";;;",,,,
"37;""U3","U5"";""SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm"";2;""LM393"";;;",,,
"38;""U4","U6"";""TPS2557"";2;""TPS2557"";;;",,,
"39;""U7"";""SSOP-8_2.95x2.8mm_P0.65mm"";1;""SN74LVC2G08"";;;",,,,
